trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,15,15.399385739562103,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",35,17,36.805230640446446,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,11,18.36940358666635,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,8,0.6772583148547056,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,8,23.80012462849693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,19,10.561869118904212,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,15,19.541614933569853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,2,-70.01909024086157,"{0: 18, 1: 0, 2: 0, 3: 5, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",35,17,32.52553615795887,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,20,9.9184978345973,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,32.84881600003216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,14,18.655018221499695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
